Fecha,Producto,Categoría,Precio_Unitario,Costo_Unitario,Unidades_Vendidas,Ciudad
2025-04-15,Cartucho filtrante,Repuestos,60,30,35,Mendoza
2025-03-02,Kit de mangueras,Accesorios,25,10,45,Córdoba
2025-04-25,Filtro de agua,Equipos,120,80,21,Tandil
2025-06-17,Motor eléctrico,Equipos,300,200,15,Plaza Huincul
2025-06-09,Purificador portátil,Equipos,150,100,18,Tandil
2025-04-23,Repuesto bomba,Repuestos,40,20,44,Salta
2025-04-15,Repuesto bomba,Repuestos,40,20,26,Tandil
2025-05-28,Purificador portátil,Equipos,150,100,12,Mendoza
2025-05-01,Grifo cromado,Accesorios,35,15,18,Tandil
2025-01-19,Cartucho filtrante,Repuestos,60,30,43,Mendoza
2025-04-16,Filtro de agua,Equipos,120,80,50,Córdoba
2025-05-01,Filtro de agua,Equipos,120,80,16,Córdoba
2025-06-02,Repuesto bomba,Repuestos,40,20,9,Mendoza
2025-01-13,Manguera reforzada,Accesorios,50,25,11,Salta
2025-01-26,Repuesto bomba,Repuestos,40,20,28,Tandil
2025-02-22,Filtro de agua,Equipos,120,80,13,Plaza Huincul
2025-03-25,Filtro de agua,Equipos,120,80,35,Salta
2025-05-23,Repuesto bomba,Repuestos,40,20,50,Mendoza
2025-03-08,Cartucho filtrante,Repuestos,60,30,27,Córdoba
2025-05-16,Motor eléctrico,Equipos,300,200,16,Córdoba
2025-01-15,Kit de mangueras,Accesorios,25,10,11,Mendoza
2025-06-06,Kit de mangueras,Accesorios,25,10,35,Salta
2025-01-18,Cartucho filtrante,Repuestos,60,30,48,Salta
2025-01-08,Tanque de reserva,Equipos,200,120,5,Mendoza
2025-03-12,Tanque de reserva,Equipos,200,120,24,Mendoza
2025-04-19,Grifo cromado,Accesorios,35,15,5,Salta
2025-06-23,Purificador portátil,Equipos,150,100,13,Mendoza
2025-02-08,Tanque de reserva,Equipos,200,120,8,Tandil
2025-04-29,Purificador portátil,Equipos,150,100,17,Salta
2025-04-02,Válvula de presión,Repuestos,75,40,23,Tandil
2025-04-20,Grifo cromado,Accesorios,35,15,47,Tandil
2025-03-01,Kit de mangueras,Accesorios,25,10,41,Mendoza
2025-06-24,Manguera reforzada,Accesorios,50,25,32,Plaza Huincul
2025-03-31,Grifo cromado,Accesorios,35,15,24,Plaza Huincul
2025-03-28,Grifo cromado,Accesorios,35,15,1,Mendoza
2025-01-21,Kit de mangueras,Accesorios,25,10,12,Salta
2025-02-24,Válvula de presión,Repuestos,75,40,29,Córdoba
2025-02-04,Grifo cromado,Accesorios,35,15,44,Tandil
2025-02-26,Cartucho filtrante,Repuestos,60,30,38,Salta
2025-02-28,Filtro de agua,Equipos,120,80,28,Córdoba
2025-05-25,Tanque de reserva,Equipos,200,120,1,Tandil
2025-04-13,Purificador portátil,Equipos,150,100,16,Córdoba
2025-05-22,Motor eléctrico,Equipos,300,200,45,Mendoza
2025-01-25,Grifo cromado,Accesorios,35,15,36,Salta
2025-04-02,Repuesto bomba,Repuestos,40,20,35,Tandil
2025-03-08,Tanque de reserva,Equipos,200,120,19,Mendoza
2025-01-29,Filtro de agua,Equipos,120,80,32,Tandil
2025-04-17,Manguera reforzada,Accesorios,50,25,30,Mendoza
2025-06-19,Kit de mangueras,Accesorios,25,10,22,Córdoba
2025-02-14,Repuesto bomba,Repuestos,40,20,9,Tandil
2025-06-27,Purificador portátil,Equipos,150,100,6,Tandil
2025-05-22,Cartucho filtrante,Repuestos,60,30,5,Salta
2025-05-16,Cartucho filtrante,Repuestos,60,30,28,Tandil
2025-02-08,Kit de mangueras,Accesorios,25,10,47,Plaza Huincul
2025-05-27,Válvula de presión,Repuestos,75,40,2,Plaza Huincul
2025-06-03,Filtro de agua,Equipos,120,80,18,Tandil
2025-06-26,Cartucho filtrante,Repuestos,60,30,18,Tandil
2025-02-24,Cartucho filtrante,Repuestos,60,30,19,Mendoza
2025-04-24,Kit de mangueras,Accesorios,25,10,44,Tandil
2025-03-22,Válvula de presión,Repuestos,75,40,8,Tandil
2025-04-21,Cartucho filtrante,Repuestos,60,30,17,Córdoba
2025-06-08,Motor eléctrico,Equipos,300,200,24,Salta
2025-03-28,Grifo cromado,Accesorios,35,15,10,Salta
2025-05-28,Repuesto bomba,Repuestos,40,20,39,Plaza Huincul
2025-05-26,Purificador portátil,Equipos,150,100,20,Salta
2025-06-13,Tanque de reserva,Equipos,200,120,6,Mendoza
2025-06-07,Válvula de presión,Repuestos,75,40,16,Tandil
2025-01-12,Repuesto bomba,Repuestos,40,20,35,Mendoza
2025-02-24,Tanque de reserva,Equipos,200,120,36,Salta
2025-02-16,Válvula de presión,Repuestos,75,40,29,Mendoza
2025-04-10,Cartucho filtrante,Repuestos,60,30,31,Salta
2025-06-08,Purificador portátil,Equipos,150,100,29,Tandil
2025-04-13,Repuesto bomba,Repuestos,40,20,10,Tandil
2025-03-14,Filtro de agua,Equipos,120,80,19,Córdoba
2025-03-12,Grifo cromado,Accesorios,35,15,50,Córdoba
2025-06-22,Manguera reforzada,Accesorios,50,25,8,Tandil
2025-02-03,Válvula de presión,Repuestos,75,40,8,Mendoza
2025-05-11,Filtro de agua,Equipos,120,80,30,Salta
2025-04-20,Motor eléctrico,Equipos,300,200,37,Salta
2025-01-24,Kit de mangueras,Accesorios,25,10,25,Salta
2025-06-15,Motor eléctrico,Equipos,300,200,21,Córdoba
2025-05-13,Grifo cromado,Accesorios,35,15,35,Plaza Huincul
2025-01-22,Motor eléctrico,Equipos,300,200,49,Mendoza
2025-06-05,Válvula de presión,Repuestos,75,40,22,Tandil
2025-02-09,Filtro de agua,Equipos,120,80,8,Plaza Huincul
2025-02-28,Tanque de reserva,Equipos,200,120,30,Salta
2025-04-15,Manguera reforzada,Accesorios,50,25,32,Mendoza
2025-04-11,Grifo cromado,Accesorios,35,15,36,Mendoza
2025-06-22,Tanque de reserva,Equipos,200,120,2,Salta
2025-05-18,Válvula de presión,Repuestos,75,40,34,Mendoza
2025-05-19,Válvula de presión,Repuestos,75,40,33,Córdoba
2025-06-08,Manguera reforzada,Accesorios,50,25,7,Córdoba
2025-03-02,Filtro de agua,Equipos,120,80,5,Plaza Huincul
2025-02-06,Repuesto bomba,Repuestos,40,20,3,Salta
2025-05-05,Manguera reforzada,Accesorios,50,25,21,Salta
2025-06-25,Purificador portátil,Equipos,150,100,2,Mendoza
2025-04-07,Manguera reforzada,Accesorios,50,25,31,Plaza Huincul
2025-01-29,Cartucho filtrante,Repuestos,60,30,14,Córdoba
2025-01-17,Motor eléctrico,Equipos,300,200,35,Salta
2025-06-09,Kit de mangueras,Accesorios,25,10,35,Plaza Huincul
2025-02-07,Tanque de reserva,Equipos,200,120,31,Córdoba
2025-02-27,Manguera reforzada,Accesorios,50,25,6,Córdoba
2025-05-15,Válvula de presión,Repuestos,75,40,7,Plaza Huincul
2025-02-10,Repuesto bomba,Repuestos,40,20,19,Mendoza
2025-03-25,Kit de mangueras,Accesorios,25,10,19,Córdoba
2025-06-28,Filtro de agua,Equipos,120,80,39,Mendoza
2025-05-12,Purificador portátil,Equipos,150,100,39,Plaza Huincul
2025-06-17,Filtro de agua,Equipos,120,80,26,Plaza Huincul
2025-06-23,Tanque de reserva,Equipos,200,120,23,Córdoba
2025-04-03,Válvula de presión,Repuestos,75,40,43,Mendoza
2025-05-10,Grifo cromado,Accesorios,35,15,44,Salta
2025-01-28,Manguera reforzada,Accesorios,50,25,12,Mendoza
2025-05-25,Filtro de agua,Equipos,120,80,36,Mendoza
2025-04-01,Tanque de reserva,Equipos,200,120,27,Salta
2025-03-29,Cartucho filtrante,Repuestos,60,30,9,Córdoba
2025-02-24,Manguera reforzada,Accesorios,50,25,6,Salta
2025-06-08,Manguera reforzada,Accesorios,50,25,37,Mendoza
2025-06-16,Manguera reforzada,Accesorios,50,25,37,Plaza Huincul
2025-05-05,Filtro de agua,Equipos,120,80,47,Tandil
2025-02-02,Kit de mangueras,Accesorios,25,10,5,Tandil
2025-03-01,Kit de mangueras,Accesorios,25,10,17,Salta
2025-06-27,Grifo cromado,Accesorios,35,15,16,Salta
2025-01-20,Manguera reforzada,Accesorios,50,25,33,Salta
2025-04-13,Válvula de presión,Repuestos,75,40,34,Tandil
2025-06-06,Tanque de reserva,Equipos,200,120,45,Tandil
2025-02-08,Válvula de presión,Repuestos,75,40,30,Mendoza
2025-02-22,Válvula de presión,Repuestos,75,40,29,Tandil
2025-05-01,Filtro de agua,Equipos,120,80,16,Tandil
2025-06-16,Cartucho filtrante,Repuestos,60,30,22,Tandil
2025-06-18,Purificador portátil,Equipos,150,100,13,Mendoza
2025-03-19,Manguera reforzada,Accesorios,50,25,36,Salta
2025-03-08,Filtro de agua,Equipos,120,80,15,Plaza Huincul
2025-04-08,Purificador portátil,Equipos,150,100,1,Plaza Huincul
2025-02-22,Motor eléctrico,Equipos,300,200,45,Tandil
2025-05-19,Grifo cromado,Accesorios,35,15,19,Mendoza
2025-03-17,Válvula de presión,Repuestos,75,40,24,Mendoza
2025-05-05,Purificador portátil,Equipos,150,100,33,Mendoza
2025-05-04,Purificador portátil,Equipos,150,100,2,Mendoza
2025-06-09,Kit de mangueras,Accesorios,25,10,28,Plaza Huincul
2025-06-30,Grifo cromado,Accesorios,35,15,48,Córdoba
2025-04-16,Purificador portátil,Equipos,150,100,33,Plaza Huincul
2025-03-01,Kit de mangueras,Accesorios,25,10,27,Córdoba
2025-02-23,Purificador portátil,Equipos,150,100,11,Tandil
2025-05-31,Válvula de presión,Repuestos,75,40,2,Tandil
2025-01-05,Tanque de reserva,Equipos,200,120,49,Salta
2025-05-13,Repuesto bomba,Repuestos,40,20,3,Plaza Huincul
2025-04-09,Kit de mangueras,Accesorios,25,10,30,Tandil
2025-05-08,Tanque de reserva,Equipos,200,120,24,Plaza Huincul
2025-06-02,Válvula de presión,Repuestos,75,40,34,Tandil
2025-02-17,Filtro de agua,Equipos,120,80,6,Salta
2025-05-27,Filtro de agua,Equipos,120,80,40,Salta
2025-01-12,Válvula de presión,Repuestos,75,40,28,Tandil
2025-01-16,Purificador portátil,Equipos,150,100,19,Tandil
2025-04-30,Kit de mangueras,Accesorios,25,10,1,Plaza Huincul
2025-06-27,Kit de mangueras,Accesorios,25,10,35,Salta
2025-04-02,Tanque de reserva,Equipos,200,120,8,Córdoba
2025-03-17,Manguera reforzada,Accesorios,50,25,48,Plaza Huincul
2025-05-20,Purificador portátil,Equipos,150,100,50,Mendoza
2025-04-15,Purificador portátil,Equipos,150,100,4,Plaza Huincul
2025-01-11,Motor eléctrico,Equipos,300,200,24,Salta
2025-05-31,Grifo cromado,Accesorios,35,15,43,Tandil
2025-01-12,Válvula de presión,Repuestos,75,40,39,Salta
2025-03-05,Tanque de reserva,Equipos,200,120,20,Salta
2025-05-18,Grifo cromado,Accesorios,35,15,25,Plaza Huincul
2025-05-26,Filtro de agua,Equipos,120,80,2,Plaza Huincul
2025-01-05,Repuesto bomba,Repuestos,40,20,7,Mendoza
2025-05-22,Motor eléctrico,Equipos,300,200,11,Córdoba
2025-04-10,Motor eléctrico,Equipos,300,200,17,Salta
2025-04-06,Grifo cromado,Accesorios,35,15,50,Tandil
2025-04-06,Manguera reforzada,Accesorios,50,25,15,Plaza Huincul
2025-01-24,Kit de mangueras,Accesorios,25,10,50,Salta
2025-06-01,Tanque de reserva,Equipos,200,120,22,Córdoba
2025-05-20,Kit de mangueras,Accesorios,25,10,20,Salta
2025-01-22,Grifo cromado,Accesorios,35,15,14,Mendoza
2025-06-14,Motor eléctrico,Equipos,300,200,19,Mendoza
2025-01-29,Tanque de reserva,Equipos,200,120,29,Plaza Huincul
2025-03-29,Grifo cromado,Accesorios,35,15,30,Plaza Huincul
2025-06-24,Grifo cromado,Accesorios,35,15,28,Córdoba
2025-01-04,Tanque de reserva,Equipos,200,120,15,Córdoba
2025-04-03,Filtro de agua,Equipos,120,80,29,Córdoba
2025-06-28,Grifo cromado,Accesorios,35,15,17,Salta
2025-06-15,Filtro de agua,Equipos,120,80,8,Plaza Huincul
2025-04-23,Cartucho filtrante,Repuestos,60,30,18,Mendoza
2025-06-13,Cartucho filtrante,Repuestos,60,30,32,Salta
2025-03-25,Repuesto bomba,Repuestos,40,20,40,Plaza Huincul
2025-03-18,Filtro de agua,Equipos,120,80,28,Salta
2025-01-27,Kit de mangueras,Accesorios,25,10,4,Salta
2025-05-14,Filtro de agua,Equipos,120,80,11,Mendoza
2025-03-02,Tanque de reserva,Equipos,200,120,30,Córdoba
2025-06-12,Kit de mangueras,Accesorios,25,10,10,Salta
2025-03-10,Kit de mangueras,Accesorios,25,10,28,Plaza Huincul
2025-03-02,Filtro de agua,Equipos,120,80,19,Mendoza
2025-02-20,Motor eléctrico,Equipos,300,200,40,Mendoza
2025-02-03,Purificador portátil,Equipos,150,100,17,Mendoza
2025-05-23,Tanque de reserva,Equipos,200,120,41,Tandil
2025-01-21,Manguera reforzada,Accesorios,50,25,15,Salta
2025-06-08,Purificador portátil,Equipos,150,100,41,Salta
2025-03-01,Válvula de presión,Repuestos,75,40,4,Plaza Huincul
2025-03-15,Cartucho filtrante,Repuestos,60,30,16,Tandil
2025-01-13,Kit de mangueras,Accesorios,25,10,33,Tandil
2025-05-23,Manguera reforzada,Accesorios,50,25,11,Salta
2025-06-02,Manguera reforzada,Accesorios,50,25,10,Plaza Huincul
2025-03-11,Manguera reforzada,Accesorios,50,25,39,Mendoza
2025-06-20,Manguera reforzada,Accesorios,50,25,17,Salta
2025-06-17,Grifo cromado,Accesorios,35,15,25,Salta
2025-06-28,Grifo cromado,Accesorios,35,15,2,Plaza Huincul
2025-05-21,Kit de mangueras,Accesorios,25,10,17,Plaza Huincul
2025-01-05,Filtro de agua,Equipos,120,80,47,Mendoza
2025-03-06,Motor eléctrico,Equipos,300,200,14,Plaza Huincul
2025-05-31,Motor eléctrico,Equipos,300,200,6,Salta
2025-05-14,Repuesto bomba,Repuestos,40,20,18,Córdoba
2025-06-08,Válvula de presión,Repuestos,75,40,13,Salta
2025-06-21,Motor eléctrico,Equipos,300,200,1,Plaza Huincul
2025-04-03,Cartucho filtrante,Repuestos,60,30,29,Salta
2025-04-05,Repuesto bomba,Repuestos,40,20,33,Plaza Huincul
2025-02-20,Grifo cromado,Accesorios,35,15,33,Plaza Huincul
2025-05-26,Kit de mangueras,Accesorios,25,10,18,Tandil
2025-03-27,Filtro de agua,Equipos,120,80,9,Córdoba
2025-04-12,Grifo cromado,Accesorios,35,15,34,Salta
2025-01-28,Purificador portátil,Equipos,150,100,50,Mendoza
2025-05-16,Kit de mangueras,Accesorios,25,10,37,Plaza Huincul
2025-01-09,Válvula de presión,Repuestos,75,40,20,Mendoza
2025-03-13,Filtro de agua,Equipos,120,80,39,Plaza Huincul
2025-03-07,Filtro de agua,Equipos,120,80,20,Salta
2025-03-05,Kit de mangueras,Accesorios,25,10,42,Mendoza
2025-02-08,Kit de mangueras,Accesorios,25,10,8,Mendoza
2025-02-05,Cartucho filtrante,Repuestos,60,30,8,Salta
2025-05-10,Repuesto bomba,Repuestos,40,20,23,Córdoba
2025-05-05,Purificador portátil,Equipos,150,100,49,Salta
2025-05-08,Filtro de agua,Equipos,120,80,2,Mendoza
2025-02-16,Cartucho filtrante,Repuestos,60,30,36,Plaza Huincul
2025-05-24,Kit de mangueras,Accesorios,25,10,40,Salta
2025-06-06,Purificador portátil,Equipos,150,100,16,Mendoza
2025-01-14,Motor eléctrico,Equipos,300,200,5,Plaza Huincul
2025-01-07,Cartucho filtrante,Repuestos,60,30,2,Mendoza
2025-02-27,Cartucho filtrante,Repuestos,60,30,32,Plaza Huincul
2025-03-15,Válvula de presión,Repuestos,75,40,26,Salta
2025-06-11,Kit de mangueras,Accesorios,25,10,11,Córdoba
2025-04-03,Cartucho filtrante,Repuestos,60,30,46,Mendoza
2025-03-06,Repuesto bomba,Repuestos,40,20,46,Mendoza
2025-04-29,Válvula de presión,Repuestos,75,40,1,Salta
2025-01-28,Motor eléctrico,Equipos,300,200,44,Mendoza
2025-02-14,Válvula de presión,Repuestos,75,40,1,Córdoba
2025-04-09,Filtro de agua,Equipos,120,80,12,Mendoza
2025-05-14,Grifo cromado,Accesorios,35,15,32,Tandil
2025-05-15,Cartucho filtrante,Repuestos,60,30,7,Córdoba
2025-02-15,Grifo cromado,Accesorios,35,15,29,Salta
2025-02-25,Válvula de presión,Repuestos,75,40,6,Plaza Huincul
2025-03-01,Cartucho filtrante,Repuestos,60,30,23,Tandil
2025-01-12,Repuesto bomba,Repuestos,40,20,5,Mendoza
2025-05-17,Tanque de reserva,Equipos,200,120,7,Plaza Huincul
2025-05-29,Válvula de presión,Repuestos,75,40,7,Córdoba
2025-05-11,Válvula de presión,Repuestos,75,40,1,Mendoza
2025-06-15,Grifo cromado,Accesorios,35,15,30,Mendoza
2025-02-12,Motor eléctrico,Equipos,300,200,4,Córdoba
2025-02-05,Válvula de presión,Repuestos,75,40,27,Salta
2025-01-09,Kit de mangueras,Accesorios,25,10,34,Mendoza
2025-04-18,Válvula de presión,Repuestos,75,40,15,Salta
2025-04-12,Kit de mangueras,Accesorios,25,10,33,Córdoba
2025-01-04,Motor eléctrico,Equipos,300,200,17,Tandil
2025-06-21,Purificador portátil,Equipos,150,100,50,Salta
2025-02-02,Manguera reforzada,Accesorios,50,25,22,Plaza Huincul
2025-06-29,Manguera reforzada,Accesorios,50,25,23,Plaza Huincul
2025-03-10,Purificador portátil,Equipos,150,100,37,Salta
2025-01-07,Kit de mangueras,Accesorios,25,10,18,Plaza Huincul
2025-04-01,Motor eléctrico,Equipos,300,200,46,Córdoba
2025-02-11,Tanque de reserva,Equipos,200,120,15,Plaza Huincul
2025-06-26,Válvula de presión,Repuestos,75,40,10,Mendoza
2025-03-16,Purificador portátil,Equipos,150,100,11,Tandil
2025-01-03,Manguera reforzada,Accesorios,50,25,4,Mendoza
2025-01-15,Manguera reforzada,Accesorios,50,25,48,Plaza Huincul
2025-04-03,Purificador portátil,Equipos,150,100,37,Mendoza
2025-03-01,Grifo cromado,Accesorios,35,15,18,Córdoba
2025-05-11,Filtro de agua,Equipos,120,80,36,Tandil
2025-03-13,Kit de mangueras,Accesorios,25,10,42,Mendoza
2025-06-05,Válvula de presión,Repuestos,75,40,22,Mendoza
2025-02-24,Repuesto bomba,Repuestos,40,20,7,Plaza Huincul
2025-05-14,Motor eléctrico,Equipos,300,200,41,Plaza Huincul
2025-01-30,Purificador portátil,Equipos,150,100,11,Córdoba
2025-01-11,Manguera reforzada,Accesorios,50,25,48,Plaza Huincul
2025-06-24,Manguera reforzada,Accesorios,50,25,32,Mendoza
2025-05-06,Repuesto bomba,Repuestos,40,20,6,Salta
2025-05-24,Kit de mangueras,Accesorios,25,10,42,Tandil
2025-06-28,Filtro de agua,Equipos,120,80,27,Córdoba
2025-01-03,Motor eléctrico,Equipos,300,200,34,Tandil
2025-03-24,Purificador portátil,Equipos,150,100,7,Salta
2025-02-23,Filtro de agua,Equipos,120,80,45,Salta
2025-06-21,Motor eléctrico,Equipos,300,200,37,Córdoba
2025-04-14,Kit de mangueras,Accesorios,25,10,5,Córdoba
2025-04-29,Motor eléctrico,Equipos,300,200,17,Salta
2025-02-20,Motor eléctrico,Equipos,300,200,19,Plaza Huincul
2025-02-04,Cartucho filtrante,Repuestos,60,30,1,Salta
2025-01-31,Válvula de presión,Repuestos,75,40,47,Tandil
2025-01-21,Grifo cromado,Accesorios,35,15,37,Córdoba
2025-03-28,Grifo cromado,Accesorios,35,15,22,Tandil
2025-06-16,Tanque de reserva,Equipos,200,120,37,Tandil
2025-06-14,Purificador portátil,Equipos,150,100,19,Tandil
2025-06-04,Kit de mangueras,Accesorios,25,10,2,Córdoba
2025-03-20,Grifo cromado,Accesorios,35,15,20,Mendoza
2025-03-22,Grifo cromado,Accesorios,35,15,35,Tandil
2025-03-23,Manguera reforzada,Accesorios,50,25,46,Tandil
2025-03-13,Purificador portátil,Equipos,150,100,18,Tandil
2025-05-09,Filtro de agua,Equipos,120,80,23,Tandil
2025-03-11,Filtro de agua,Equipos,120,80,41,Plaza Huincul
2025-06-14,Motor eléctrico,Equipos,300,200,41,Córdoba
2025-05-10,Grifo cromado,Accesorios,35,15,41,Salta
2025-04-07,Kit de mangueras,Accesorios,25,10,9,Tandil
2025-06-03,Cartucho filtrante,Repuestos,60,30,9,Salta
2025-02-10,Válvula de presión,Repuestos,75,40,6,Mendoza
2025-04-15,Kit de mangueras,Accesorios,25,10,27,Córdoba
2025-02-12,Manguera reforzada,Accesorios,50,25,17,Salta
2025-05-24,Repuesto bomba,Repuestos,40,20,20,Salta
2025-01-14,Tanque de reserva,Equipos,200,120,48,Plaza Huincul
2025-04-18,Filtro de agua,Equipos,120,80,45,Mendoza
2025-01-29,Tanque de reserva,Equipos,200,120,5,Mendoza
2025-02-02,Manguera reforzada,Accesorios,50,25,39,Mendoza
2025-02-22,Motor eléctrico,Equipos,300,200,19,Plaza Huincul
2025-05-06,Purificador portátil,Equipos,150,100,42,Salta
2025-02-05,Tanque de reserva,Equipos,200,120,14,Plaza Huincul
2025-02-10,Tanque de reserva,Equipos,200,120,45,Mendoza
2025-03-28,Válvula de presión,Repuestos,75,40,43,Mendoza
2025-01-02,Manguera reforzada,Accesorios,50,25,3,Córdoba
2025-06-07,Filtro de agua,Equipos,120,80,37,Plaza Huincul
2025-02-20,Válvula de presión,Repuestos,75,40,31,Salta
2025-04-28,Manguera reforzada,Accesorios,50,25,10,Mendoza
2025-06-15,Tanque de reserva,Equipos,200,120,29,Plaza Huincul
2025-04-11,Válvula de presión,Repuestos,75,40,30,Córdoba
2025-02-20,Tanque de reserva,Equipos,200,120,40,Tandil
2025-04-17,Manguera reforzada,Accesorios,50,25,33,Mendoza
2025-01-03,Filtro de agua,Equipos,120,80,38,Mendoza
2025-01-24,Purificador portátil,Equipos,150,100,2,Plaza Huincul
